CaseID,Title,ScenarioType,Run,Action,Locator,TestData,Expected
TC001,Register User,Positive,TRUE,navigate,,{global.baseURL},
TC001,Register User,Positive,TRUE,click,{global.LoginLink},,
TC001,Register User,Positive,TRUE,type,SignUpName,{global.DefaultUsername}, 
TC001,Register User,Positive,TRUE,type,SignUpEmail,"a2@email.com",
TC001,Register User,Positive,TRUE,click,SignUpButton,
TC001,Register User,Positive,TRUE,click,TitleRadioByValue,"Mr","Radio button Mr is selected"
TC001,Register User,Positive,TRUE,type,SignUpPassword,"aa123",
TC001,Register User,Positive,TRUE,select,SignUpDay,"20",
TC001,Register User,Positive,TRUE,select,SignUpMonth,"July",
TC001,Register User,Positive,TRUE,select,SignUpYear,"2000",
TC001,Register User,Positive,TRUE,click,SignUpNewsLetter,
TC001,Register User,Positive,TRUE,click,SignUpOffer,
TC001,Register User,Positive,TRUE,type,SignUpFirstname,"aaa",
TC001,Register User,Positive,TRUE,type,SignUpLastname,"bbb",
TC001,Register User,Positive,TRUE,type,SignUpAddress,"Jalan Street",
TC001,Register User,Positive,TRUE,select,SignUpCountry,"Israel",
TC001,Register User,Positive,TRUE,type,SignUpState,"State",
TC001,Register User,Positive,TRUE,type,SignUpCity,"city",
TC001,Register User,Positive,TRUE,type,SignUpZipcode,"Zipcode",
TC001,Register User,Positive,TRUE,type,SignUpMobileNumber,"08123456789",
TC001,Register User,Positive,TRUE,click,SignUpCreateAccount,,
TC001,Register User,Positive,TRUE,assert,SignUpValidateCreateAccount,,"ACCOUNT CREATED!"
TC001,Register User,Positive,TRUE,click,{global.LoginLink},,,
TC001,Register User,Positive,TRUE,assert,{global.username_display},,{global.DefaultUsername}
TC001,Register User,Positive,TRUE,click,SignUpDeleteAccount,,,
TC001,Register User,Positive,TRUE,assert,SignUpValidateDeletedAccount,,"ACCOUNT DELETED!"












